source	target	freq
العراقى	al-ʻIrāqī	17
العجم	al-ʻAjam	17
بمجلس	bi-Majlis	17
بمدرسة	bi-Madrasat	17
اللامي	al-Lāmī	17
الحفناوي	al-Ḥifnāwī	17
بيع	Bayʻ	17
دراز	Darāz	17
لميس	Lamīs	17
والتطرف	wa-al-taṭarruf	17
بدايات	Bidāyāt	17
وعلاج	wa-ʻIlāj	17
بدائع	Badāʼiʻ	17
بخط	bi-khaṭṭ	17
فارابي	Fārābī	17
قدمت	quddimat	17
1919	1919	17
استعمال	istiʻmāl	17
العسال	al-ʻAssāl	17
درغوثي	Darghūthī	17
للصراع	lil-ṣirāʻ	17
قديم	qadīm	17
والكتابة	wa-al-kitābah	17
المؤثرة	al-muʼaththirah	17
بجوار	bi-jiwār	17
حمدى	Ḥamdī	17
بوكس	Būks	17
حنشي	Ḥanashī	17
بوك	Būk	17
يدي	yaday	17
دالية	Dāliyat	17
حية	ḥayyah	17
هم	hum	17
استخدام	istikhdām	17
القيسراني	al-Qaysarānī	17
بوتشيش	Būtshīsh	17
بذكر	bi-dhikr	17
دحان	Daḥḥān	17
للعمل	lil-ʻamal	17
والسيرة	wa-al-sīrah	17
الدعاة	al-duʻāh	17
بدون	bi-dūn	17
دخول	dukhūl	17
فتحى	Fatḥī	17
بوش	Būsh	17
المحافظة	al-Muḥāfaẓah	17
الدواوين	al-dawāwīn	17
الفراء	al-Farrāʼ	17
الف	Alf	17
أنقار	Anqār	17
الحنين	al-ḥanīn	17
المدير	al-mudīr	17
محاميد	Maḥāmīd	17
الاستئناف	al-Istiʼnāf	17
لعلوم	li-ʻUlūm	17
أحزان	Aḥzān	17
والأحزاب	wa-al-aḥzāb	17
والإنسانيات	wa-al-Insānīyāt	17
الفقراء	al-fuqarāʼ	17
الخارجي	al-khārijī	17
كواري	Kawwārī	17
الوفد	al-Wafd	17
تمويل	tamwīl	17
الجن	al-jinn	17
التفتيش	al-taftīsh	17
جرادي	Jarādī	17
الواد	al-Wād	17
جنيدي	Junaydī	17
الطبقة	al-ṭabaqah	17
الزرو	al-Zarw	17
كنت	Kuntu	17
زغيب	Zughayb	17
رواق	Riwāq	17
والتنظيم	wa-al-tanẓīm	17
الرومانية	al-Rūmānīyah	17
البعيني	al-Buʻaynī	17
الرومانتيك	al-Rūmāntīk	17
الأميرة	al-Amīrah	17
المحمودي	al-Maḥmūdī	17
المدقق	al-mudaqqiq	17
الخشاب	al-Khashshāb	17
الصيادي	al-Ṣayyādī	17
والأسطورة	wa-al-usṭūrah	17
الطباع	al-Ṭabbāʻ	17
الأميري	al-Amīrī	17
الصيد	al-Ṣayd	17
ميلاني	Mīlānī	17
يالجن	Yāljin	17
الفضلي	al-Faḍlī	17
الأمراء	al-umarāʼ	17
الإنتخابية	al-intikhābīyah	17
زعيم	zaʻīm	17
زبيري	Zubayrī	17
الحسنى	al-ḥusná	17
العمال	al-ʻUmmāl	17
زائد	Zāʼid	17
لألفاظ	li-alfāẓ	17
المحبين	al-muḥibbīn	17
العيساوي	al-ʻĪsāwī	17
جبارة	Jabārah	17
المخزومي	al-Makhzūmī	17
العيسوي	al-ʻĪsawī	17
وادعي	Wādiʻī	17
الفراعنة	al-Farāʻinah	17
الخلاقي	al-Khalāqī	17
والطموح	wa-al-ṭumūḥ	17
كتابي	Kitābī	17
جبال	jibāl	17
الزواوي	al-Zawāwī	17
تصوير	taṣwīr	17
لجمعية	li-Jamʻīyat	17
الهوى	al-hawá	17
زمزم	Zamzam	17
ناجية	Nājiyah	17
تعيلب	Tuʻaylib	17
العمراوي	al-ʻAmrāwī	17
محاولات	muḥāwalāt	17
يموت	Yamūt	17
ومعهد	wa-Maʻhad	17
كرماني	Kirmānī	17
لأهم	li-ahamm	17
زلط	Zalaṭ	17
الرمك	al-Ramak	17
الفرعونية	al-Firʻawnīyah	17
ريا	Rayyā	17
كوثراني	Kawtharānī	17
مشكور	Mashkūr	16
أفق	ufuq	16
ضويحي	Ḍuwayḥī	16
شاش	Shāsh	16
للعاملين	lil-ʻāmilīn	16
Baghdad	Baghdad	16
وسقوط	wa-suqūṭ	16
الشبيه	al-shabīh	16
البساطي	al-Bisāṭī	16
الغازي	al-Ghāzī	16
القيمة	al-qīmah	16
الأحياء	al-aḥyāʼ	16
الحلبية	al-Ḥalabīyah	16
الاجنبية	al-ajnabīyah	16
الشملان	al-Shamlān	16
لإبراهيم	li-Ibrāhīm	16
لاحم	Lāḥim	16
للعلاقات	lil-ʻalāqāt	16
جماعيلي	Jammāʻīlī	16
القناع	al-qināʻ	16
T	T	16
والإقليمية	wa-al-iqlīmīyah	16
والإنسانية	wa-al-insānīyah	16
الأريب	al-arīb	16
القيامة	al-qiyāmah	16
همداني	Hamadānī	16
قدس	Quds	16
الدساتير	al-dasātīr	16
العلويين	al-ʻAlawīyīn	16
والفرق	wa-al-firaq	16
فوز	Fawz	16
شيمي	Shīmī	16
يزدي	Yazdī	16
الأرشيف	al-arshīf	16
الأصفر	al-Aṣfar	16
البتول	al-Batūl	16
مشيش	Mashīsh	16
فوزى	Fawzī	16
طبعت	Ṭubiʻat	16
والتربوية	wa-al-tarbawīyah	16
والتراجم	wa-al-tarājim	16
ينابيع	Yanābīʻ	16
وظيفة	Waẓīfat	16
الأرمنية	al-Armanīyah	16
الأحسائي	al-Aḥsāʼī	16
الغزال	al-Ghazāl	16
الدوائر	al-dawāʼir	16
الدهان	al-Dahhān	16
بلدان	buldān	16
والنثر	wa-al-nathr	16
1950	1950	16
جباري	Jabbārī	16
الحمدان	al-Ḥamdān	16
الأرمن	al-Arman	16
للمرة	lil-marrah	16
الغلو	al-ghulūw	16
أصدقاء	Aṣdiqāʼ	16
الكرامة	al-karāmah	16
طبيعة	ṭabīʻat	16
شوفاني	Shūfānī	16
ووثق	wa-waththaqa	16
لحود	Laḥḥūd	16
جزي	Juzayy	16
الملحون	al-malḥūn	16
الشبلي	al-Shiblī	16
وداعا	Wadāʻan	16
صاعدي	Ṣāʻidī	16
البحراوي	al-Baḥrāwī	16
بهادر	Bahādur	16
شواربي	Shawāribī	16
هجرة	Hijrat	16
فيروزابادي	Fīrūzābādī	16
بمنوبة	bi-Manūbah	16
الكبري	al-Kubrá	16
الغيب	al-ghayb	16
هدية	Hadīyah	16
فيلوثاؤس	Fīlūthāʼus	16
ثورات	thawrāt	16
للكاتب	lil-kātib	16
المعجمية	al-muʻjamīyah	16
والموقف	wa-al-mawqif	16
بنيامين	Binyāmīn	16
لشهاب	li-Shihāb	16
شنقيط	Shinqīṭ	16
قناديل	Qanādīl	16
التركيز	al-tarkīz	16
الحجر	al-ḥajar	16
الخطب	al-khuṭab	16
صرح	Ṣarḥ	16
المواهب	al-Mawāhib	16
قوت	Qūt	16
للبنات	lil-Banāt	16
والحنين	wa-al-ḥanīn	16
مشكاة	Mishkāt	16
الإشتراكي	al-Ishtirākī	16
40	40	16
تجمع	Tajammuʻ	16
العنسي	al-ʻAnsī	16
إعجاز	Iʻjāz	16
التزوير	al-tazwīr	16
لعيبي	Luʻaybī	16
والأثر	wa-al-athar	16
التركيب	al-tarkīb	16
الإفتاء	al-Iftāʼ	16
المهمة	al-muhimmah	16
الخطر	al-khaṭar	16
حدث	ḥadatha	16
الخمسة	al-khamsah	16
تعدد	Taʻaddud	16
ترانيم	Tarānīm	16
الفيوم	al-Fayyūm	16
ترجمها	tarjamahā	16
شريدة	Sharīdah	16
الإعتماد	al-Iʻtimād	16
وحكم	wa-ḥikam	16
تصوف	Taṣawwuf	16
شرقي	Sharqī	16
السياحية	al-siyāḥīyah	16
حالات	ḥālāt	16
تذكاري	tadhkārī	16
لقسم	li-Qism	16
معدلة	muʻaddalah	16
الخنجي	al-Khanjī	16
الإصلاحي	al-iṣlāḥī	16
شعار	shiʻār	16
مسلماني	Muslimānī	16
الخطوط	al-khuṭūṭ	16
الفنان	al-fannān	16
ومسيرة	wa-masīrat	16
حديثية	Ḥadīthīyah	16
شقيرات	Shuqayrāt	16
جوهرجي	Jawharjī	16
معمري	Muʻammarī	16
واحكام	wa-aḥkām	16
33	33	16
بينهما	baynahumā	16
إشارات	Ishārāt	16
الأرثوذكس	al-Urthūdhuks	16
جهاز	Jihāz	16
والصفات	wa-al-ṣifāt	16
إشارة	ishārah	16
السيطرة	al-sayṭarah	16
مساجد	Masājid	16
معموري	Maʻmūrī	16
البخيت	al-Bakhīt	16
لآخر	li-ākhir	16
الفرائد	al-farāʼid	16
السماحي	al-Samāḥī	16
الاجراءات	al-ijrāʼāt	16
أشكال	Ashkāl	16
الفرجة	al-Furjah	16
شبارو	Shibārū	16
الدراية	al-dirāyah	16
شتات	Shatāt	16
العفيفي	al-ʻAfīfī	16
وأعده	wa-aʻaddahu	16
القريشي	al-Qurayshī	16
إصدارة	iṣdārah	16
الشرتوني	al-Shartūnī	16
الموسوعات	al-mawsūʻāt	16
وأساليب	wa-asālīb	16
الأسلامي	al-Islāmī	16
حفظ	ḥifẓ	16
تكلم	takallama	16
إضاءات	Iḍāʼāt	16
حطيني	Ḥiṭṭīnī	16
العقيد	al-ʻAqīd	16
المفتاح	al-Miftāḥ	16
وحاضرها	wa-ḥāḍiruhā	16
لطلبة	li-ṭalabat	16
مطهري	Muṭahharī	16
حلاج	Ḥallāj	16
جواب	jawāb	16
الموسيقي	al-mūsīqī	16
الأسمري	al-Asmarī	16
السنهوري	al-Sanhūrī	16
قسنطينة	Qusanṭīnah	16
كنائس	Kanāʼis	16
القشاط	al-Qashshāṭ	16
جوان	Juwān	16
وأبو	wa-Abū	16
للحقوق	lil-Ḥuqūq	16
التشبيه	al-tashbīh	16
القشعمي	al-Qashʻamī	16
دقاق	Daqqāq	16
منظمات	munaẓẓamāt	16
نطاق	niṭāq	16
بالمجلس	bi-al-Majlis	16
لونيسي	Lūnīsī	16
أيوبي	Ayyūbī	16
والدور	wa-al-dawr	16
المزروعي	al-Mazrūʻī	16
الساحل	al-Sāḥil	16
بالي	Bālī	16
عاشوراء	ʻĀshūrāʼ	16
موضوعات	mawḍūʻāt	16
غضة	Ghaḍḍah	16
المشيقح	al-Mushayqiḥ	16
دوائر	Dawāʼir	16
نصراوي	Naṣrāwī	16
المشروعات	al-Mashrūʻāt	16
أوهام	awhām	16
عربيا	ʻArabīyan	16
وتعريب	wa-Taʻrīb	16
ونسقها	wa-nassaqahā	16
غرائب	gharāʼib	16
بالخرطوم	bi-al-Kharṭūm	16
أحاديثها	aḥādīthahā	16
بالسودان	bi-al-Sūdān	16
دكروب	Dakrūb	16
المائي	al-māʼī	16
دكتورة	Duktūrah	16
الندية	al-nadīyah	16
الأبواب	al-abwāb	16
نفائس	Nafāʼis	16
ساعد	Sāʻid	16
وتقييم	wa-taqyīm	16
غوشة	Ghūshah	16
موسيقى	Mūsīqá	16
سمحان	Samḥān	16
السرور	al-Surūr	16
بتول	Batūl	16
الضريبة	al-Ḍarībah	16
عاشق	ʻāshiq	16
الحثيث	al-ḥathīth	16
البار	al-Bār	16
امانة	Amānat	16
الامصار	al-amṣār	16
العاشرة	al-ʻāshirah	16
غمري	Ghamrī	16
لوتس	Lūtas	16
العاصفة	al-ʻāṣifah	16
الصبان	al-Ṣabbān	16
النوع	al-nawʻ	16
موسيقية	mūsīqīyah	16
غالية	Ghāliyah	16
الصحي	al-ṣiḥḥī	16
الجدار	al-jidār	16
والمشاركة	wa-al-mushārakah	16
وكشف	wa-kashf	16
التمام	al-tamām	16
الانبياء	al-anbiyāʼ	16
سرد	Sard	16
النعمة	al-Niʻmah	16
عدة	ʻiddat	16
عنايت	ʻInāyat	16
اليمانية	al-Yamānīyah	16
اعترافات	Iʻtirāfāt	16
السايح	al-Sāyiḥ	16
50	50	16
انتصار	Intiṣār	16
الطعن	al-ṭaʻn	16
أمالي	Amālī	16
المحتاج	al-muḥtāj	16
الکتب	al-Kutub	16
عمد	ʻAmad	16
الآسيوية	al-Āsiyawīyah	16
المسطرة	al-Masṭarah	16
الطحاوية	al-Ṭaḥāwīyah	16
ستة	Sittah	16
النفيسة	al-nafīsah	16
رسمي	Rasmī	16
مخلد	Mukhallad	16
ردود	rudūd	16
المحفوظ	al-Maḥfūẓ	16
والمطبوعات	wa-al-Maṭbūʻāt	16
الثقلين	al-thaqalayn	16
سقط	Saqṭ	16
المشرفة	al-musharrafah	16
المحلاوي	al-Maḥallāwī	16
والمصير	wa-al-maṣīr	16
رقصة	Raqṣat	16
التجانية	al-Tijānīyah	16
الربابعة	al-Rabābiʻah	16
نسائي	Nasāʼī	16
ميسرة	Maysarah	16
سكران	Sakrān	16
باشراحيل	Bāshrāḥīl	16
نسائية	nisāʼīyah	16
التصوير	al-Taṣwīr	16
راشدي	Rāshidī	16
الرحمة	al-raḥmah	16
ايهاب	Īhāb	16
cover	cover	16
المسيحيون	al-Masīḥīyūn	16
الصفاء	al-Ṣafāʼ	16
الطلب	al-ṭalab	16
نجيم	Nujaym	16
المحققة	al-muḥaqqaqah	16
الطهطاوي	al-Ṭahṭāwī	16
الحصري	al-Ḥuṣarī	16
بحراوي	Baḥrāwī	16
عجيلي	ʻUjaylī	16
والتسويق	wa-al-Taswīq	16
٨٨٩١	1988	16
الزيني	al-Zaynī	16
الواضح	al-Wāḍiḥ	16
الصناعات	al-Ṣināʻāt	16
العبدي	al-ʻAbdī	16
العبدلي	al-ʻAbdalī	16
بطي	Buṭṭī	16
وعربية	wa-ʻArabīyah	16
بعكر	Baʻkar	16
المطبوع	al-maṭbūʻ	16
الأجوبة	al-Ajwibah	16
استانبولي	Istānbūlī	16
والمعنى	wa-al-maʻná	16
البغوي	al-Baghawī	16
أمية	Umayyah	16
فرائد	Farāʼid	16
برغوث	Barghūth	16
نلسن	Nilsun	16
وتبويب	wa-tabwīb	16
التنظيمات	al-Tanẓīmāt	16
والقطاع	wa-al-qiṭāʻ	16
1949	1949	16
عشراتي	ʻAshrātī	16
الهمامي	al-Hammāmī	16
فرنسيس	Fransīs	16
والقدر	wa-al-qadar	16
محاورات	muḥāwarāt	16
الإجرائية	al-ijrāʼīyah	16
Le	Le	16
الاخضر	al-Akhḍar	16
والوصية	wa-al-waṣīyah	16
طلب	Ṭilib	16
آثارها	āthāruhā	16
الأطباء	al-aṭibbāʼ	16
الانساني	al-insānī	16
الكواكب	al-Kawākib	16
الحزبي	al-ḥizbī	16
المطوع	al-Muṭawwiʻ	16
المذهبية	al-madhhabīyah	16
الهزيمة	al-hazīmah	16
الحريات	al-Ḥurrīyāt	16
والتصحيح	wa-al-taṣḥīḥ	16
زمان	Zamān	16
الديموقراطي	al-dīmūqrāṭī	16
طفيل	Ṭufayl	16
زيادي	Ziyādī	16
بشائر	Bashāʼir	16
أركون	Arkūn	16
وزاني	Wazzānī	16
الهيكلي	al-haykalī	16
در	Durr	16
سائح	Sāʼiḥ	16
عقاب	ʻUqāb	16
طرف	ṭaraf	16
فتلاوي	Fatlāwī	16
مورو	Mūrū	16
ونظرية	wa-naẓarīyat	16
العدواني	al-ʻAdwānī	16
وتجارب	wa-tajārib	16
وتجديد	wa-tajdīd	16
الزياني	al-Zayyānī	16
الجابي	al-Jābī	16
الصوتية	al-ṣawtīyah	16
بدوان	Badwān	16
1973	1973	16
عروبة	ʻUrūbat	16
لمواجهة	li-muwājahat	16
مهمات	muhimmāt	16
ظبية	Ẓabyah	16
زاده	Zādah	16
أحمر	Aḥmar	16
دبوس	Dabbūs	16
البلوشي	al-Balūshī	16
أميركا	Amīrikā	16
خفايا	Khafāyā	16
الإبل	al-ibil	16
الليبين	al-Lībīyīn	16
البلخي	al-Balkhī	16
النحويين	al-naḥwīyīn	16
موافي	Muwāfī	16
الليبرالية	al-lībrālīyah	16
الوجدان	al-wijdān	16
البقري	al-Baqarī	15
أصلان	Aṣlān	15
الحلول	al-ḥulūl	15
واشنطن	Wāshinṭun	15
مطير	Muṭayr	15
زمانه	zamānihi	15
الرمز	al-ramz	15
جادو	Jādū	15
ستار	Sattār	15
وتحولات	wa-taḥawwulāt	15
جاهين	Jāhīn	15
والانسان	wa-al-insān	15
شويعر	Shuwayʻir	15
حادي	Ḥādī	15
شعباني	Shaʻbānī	15
والتواصل	wa-al-Tawāṣul	15
اليها	ilayhā	15
اليعلاوي	al-Yaʻlāwī	15
وقضاياه	wa-qaḍāyāh	15
وبعد	wa-baʻda	15
إلهامي	Ilhāmī	15
وتاريخها	wa-tārīkhihā	15
الرموز	al-rumūz	15
اليمين	al-yamīn	15
حارس	Ḥāris	15
وميض	Wamīḍ	15
المنيف	al-Munīf	15
مصالحة	Muṣāliḥah	15
Studies	Studies	15
تقريرات	taqrīrāt	15
وبرامج	wa-barāmij	15
تكريم	Takrīm	15
وخفايا	wa-khafāyā	15
والإتصال	wa-al-Ittiṣāl	15
Jordan	Jordan	15
الهدف	al-Hadaf	15
الخبراء	al-khubarāʼ	15
جميعان	Jumayʻān	15
جزاء	Jazāʼ	15
الخبير	al-khabīr	15
سالمان	Sālimān	15
المنطقية	al-manṭiqīyah	15
أمراء	Umarāʼ	15
أطرش	Aṭrash	15
جسد	jasad	15
زرنوقة	Zarnūqah	15
السائرين	al-sāʼirīn	15
أنصار	Anṣār	15
شهبة	Shuhbah	15
توضيح	Tawḍīḥ	15
الخالدية	al-Khālidīyah	15
توجيه	tawjīh	15
سادات	Sadat	15
والإجتماع	wa-al-ijtimāʻ	15
ال	al	15
ثالثة	thālithah	15
أندلسية	Andalusīyah	15
التراثي	al-turāthī	15
الزريبي	al-Zarībī	15
الوظيفي	al-waẓīfī	15
روما	Rūmā	15
39	39	15
الري	al-rayy	15
اعده	aʻaddahu	15
الاهالي	al-Ahālī	15
رماد	Ramād	15
والاسلامية	wa-al-Islāmīyah	15
البكوش	al-Bakkūsh	15
إمبابة	Imbābah	15
اليحياوي	al-Yaḥyāwī	15
اليراع	al-Yarāʻ	15
جودي	Jūdī	15
جراد	Jarād	15
جراح	Jarrāḥ	15
والاصول	wa-al-uṣūl	15
اليزيدي	al-Yazīdī	15
رند	Rand	15
شلهوب	Shalhūb	15
وسط	wasaṭ	15
الحوزة	al-Ḥawzah	15
الخرسان	al-Kharsān	15
الواضحة	al-wāḍiḥah	15
روفائيل	Rūfāʼīl	15
اكتشاف	iktishāf	15
مومني	Mūminī	15
منشىء	munshiʼ	15
السيسي	al-Sīsī	15
الواسطي	al-Wāsiṭī	15
الريادة	al-riyādah	15
تمهيد	tamhīd	15
بلاط	balāṭ	15
نزيل	nazīl	15
تعزيز	taʻzīz	15
1924	1924	15
حنظل	Ḥanẓal	15
النحاة	al-nuḥāh	15
إتفاق	Ittifāq	15
حوات	Ḥawwāt	15
شامسي	Shāmisī	15
وسائر	wa-sāʼir	15
Bank	Bank	15
نقض	naqḍ	15
النجم	al-Najm	15
همس	Hams	15
بديوي	Budaywī	15
أفريقية	Afrīqīyah	15
الدعاية	al-Diʻāyah	15
سنيدي	Sunaydī	15
دايه	Dāyah	15
بوابة	bawwābat	15
والوطنية	wa-al-waṭanīyah	15
نقاشية	niqāshīyah	15
بولاية	bi-Wilāyat	15
السلوم	al-Sallūm	15
ورسوم	wa-rusūm	15
وجود	wujūd	15
تأريخية	taʼrīkhīyah	15
سلوك	sulūk	15
نعماني	Nuʻmānī	15
بتصرف	bi-taṣarruf	15
استقلال	istiqlāl	15
البكر	al-Bakr	15
بجمعها	bi-jamʻihā	15
السماك	al-Sammāk	15
حمزاوي	Ḥamzāwī	15
B	B	15
المولود	al-mawlūd	15
التابعين	al-tābiʻīn	15
سمك	Samak	15
إسكندرية	Iskandarīyah	15
حموش	Ḥammūsh	15
الرأسمالية	al-raʼsmālīyah	15
بهنسي	Bahnasī	15
Code	Code	15
سيسي	Sīsī	15
بطل	baṭal	15
بمحافظة	bi-Muḥāfaẓat	15
مقتل	maqtal	15
بطوطة	Baṭṭūṭah	15
خشان	Khashshān	15
خلق	khalq	15
بلفقيه	Bilfaqīh	15
اربعة	arbaʻat	15
سياب	Sayyāb	15
الالهية	al-ilāhīyah	15
السلاوي	al-Salāwī	15
سيادة	siyādat	15
هاجري	Hājirī	15
إدلبي	Idlibī	15
بمراكش	bi-Marrākush	15
خماش	Khammāsh	15
سوسيولوجيا	Sūsiyūlūjiyā	15
الدويك	al-Duwayk	15
1920	1920	15
الذبياني	al-Dhubyānī	15
ادبي	adabī	15
خيال	Khayyāl	15
خياطة	Khayyāṭah	15
الديون	al-duyūn	15
سور	suwar	15
الأجزاء	al-ajzāʼ	15
السلطانية	al-sulṭānīyah	15
أكادير	Akādīr	15
نواصرة	Nawāṣirah	15
ادوارد	Idwārd	15
خنين	Khunayn	15
بطاينة	Baṭāyinah	15
الميمني	al-Maymanī	15
النائب	al-nāʼib	15
الدبلوماسي	al-Diblūmāsī	15
تعريف	taʻrīf	15
اجتهادات	ijtihādāt	15
نبذة	nubdhah	15
سروري	Surūrī	15
النعمانية	al-Nuʻmānīyah	15
الرسولي	al-Rasūlī	15
والحجاب	wa-al-ḥijāb	15
٦٢	26	15
ايام	ayyām	15
النظري	al-naẓarī	15
الرزاز	al-Razzāz	15
وإخراج	wa-ikhrāj	15
حسناوي	Ḥasnāwī	15
البراك	al-Barrāk	15
نداف	Naddāf	15
باجبير	Bājubīr	15
باجس	Bājis	15
حساب	ḥisāb	15
ذهني	Dhuhnī	15
مليح	Malīḥ	15
1956	1956	15
الموتى	al-mawtá	15
الحكومي	al-ḥukūmī	15
وحقيقة	wa-ḥaqīqat	15
الآلهة	al-ālihah	15
البردوني	al-Baraddūnī	15
ناريمان	Nārīmān	15
سجين	sajīn	15
ناس	Nās	15
البرعي	al-Buraʻī	15
الخلاصة	al-Khulāṣah	15
أواسط	awāsiṭ	15
رسالتان	Risālatān	15
حتر	Ḥattar	15
وميدانية	wa-maydānīyah	15
الخلدوني	al-Khaldūnī	15
انتخابات	Intikhābāt	15
والتلقي	wa-al-talaqqī	15
معجب	Muʻjab	15
الحسنية	al-Ḥasanīyah	15
تسهيل	Tasʹhīl	15
سد	Sadd	15
التعويض	al-taʻwīḍ	15
احاديثه	aḥādīthahu	15
السجناء	al-Sujanāʼ	15
بالطيب	Bālṭayyib	15
شذا	Shadhā	15
بالحاج	Bālḥājj	15
بالدار	bi-al-Dār	15
سلاوي	Salāwī	15
التسعينيات	al-tisʻīnīyāt	15
نسخ	nusakh	15
وأحكامه	wa-aḥkāmuhu	15
شحرور	Shaḥrūr	15
بالكويت	bi-al-Kuwayt	15
دمشقي	Dimashqī	15
والتجليد	wa-al-Tajlīd	15
الحكماء	al-ḥukamāʼ	15
التعداد	al-Taʻdād	15
وتطوير	wa-taṭwīr	15
شذرات	Shadharāt	15
وأمريكا	wa-Amrīkā	15
بار	Bārr	15
ذكرياتي	Dhikrayātī	15
بارود	Bārūd	15
الربا	al-Ribā	15
بازي	Bāzī	15
S	S	15
المودودي	al-Mawdūdī	15
حسينى	Ḥusaynī	15
ومسائل	wa-masāʼil	15
حشيش	Ḥashīsh	15
النصارى	al-Naṣārá	15
حصار	Ḥiṣār	15
وأعضاء	wa-Aʻḍāʼ	15
باطرفي	Bāṭarfī	15
احتلال	iḥtilāl	15
حطاب	Ḥaṭṭāb	15
شيت	Shīt	15
حجار	Ḥajjār	15
للدعاية	lil-Diʻāyah	15
المسلمي	al-Musallamī	15
والعسكرية	wa-al-ʻaskarīyah	15
مجاز	mujāz	15
مسيحية	Masīḥīyah	15
للدول	lil-duwal	15
مروي	Marwī	15
الإتحادية	al-Ittiḥādīyah	15
لمساعدة	li-Musāʻadat	15
الغانمي	al-Ghānimī	15
قره	Qarah	15
البيرق	al-Bayraq	15
كثيرة	kathīrah	15
الأمية	al-ummīyah	15
الصراف	al-Ṣarrāf	15
اللؤلؤ	al-Luʼluʼ	15
مجتمعات	mujtamaʻāt	15
آثارية	āthārīyah	15
الفراغ	al-farāgh	15
عثامنة	ʻAthāminah	15
العيني	al-ʻAynī	15
الضامن	al-Ḍāmin	15
العمامي	al-ʻAmāmī	15
أسود	Aswad	15
الضرورة	al-ḍarūrah	15
t	t	15
لله	lillāh	15
الكورد	al-Kūrd	15
كرار	Karār	15
مجدى	Majdī	15
الأغنية	al-ughniyah	15
between	between	15
علقم	ʻAlqam	15
طبعها	ṭabʻihā	15
الأنباط	al-Anbāṭ	15
مدرسي	Mudarrisī	15
لاحمد	li-Aḥmad	15
لنشطاء	li-Nushaṭāʼ	15
القص	al-qaṣṣ	15
لنصوص	li-nuṣūṣ	15
طرائف	Ṭarāʼif	15
للحزب	lil-Ḥizb	15
مباركي	Mubārakī	15
عليهما	ʻalayhimā	15
وفكر	wa-fikr	15
الحبشي	al-Ḥabashī	15
الصحيفة	al-Ṣaḥīfah	15
الأنا	al-anā	15
آلاف	ālāf	15
الفاظ	alfāẓ	15
الاثرية	al-atharīyah	15
مشارف	mashārif	15
البلوي	al-Balawī	15
المحمد	al-Muḥammad	15
للأدب	lil-adab	15
عبدي	ʻAbdī	15
لمنتدى	li-Muntadá	15
قشعمي	Qashʻamī	15
الحبشة	al-Ḥabashah	15
عبدلي	ʻAbdalī	15
مبيض	Mubayyiḍ	15
والعرفان	wa-al-ʻirfān	15
الأفق	al-ufuq	15
الأماكن	al-amākin	15
الاحزاب	al-aḥzāb	15
عسلي	ʻAsalī	15
والحوار	wa-al-ḥiwār	15
الجلال	al-Jalāl	15
الصفصافي	al-Ṣafṣāfī	15
عشائر	ʻAshāʼir	15
ضومط	Ḍūmiṭ	15
أسبابها	asbābuhā	15
الكرام	al-kirām	15
١٧	17	15
المراجع	al-marājiʻ	15
لصالح	li-Ṣāliḥ	15
عربه	ʻarrabahu	15
الكرملي	al-Kirmilī	15
والعدالة	wa-al-ʻadālah	15
العهود	al-ʻuhūd	15
ضمير	ḍamīr	15
عريني	ʻArīnī	15
ضحى	Ḍuḥá	15
المعموري	al-Maʻmūrī	15
الصلوات	al-ṣalawāt	15
ضمن	ḍimna	15
والفقهاء	wa-al-fuqahāʼ	15
الثلاثاء	al-Thulāthāʼ	15
عزف	ʻAzf	15
العميمي	al-ʻUmaymī	15
للغة	lil-lughah	15
العمير	al-ʻUmayr	15
المفترى	al-muftará	15
West	West	15
المساجد	al-masājid	15
صليبي	Ṣalībī	15
المفيدة	al-mufīdah	15
قدمس	Qadmus	15
المستقيم	al-mustaqīm	15
مسرحي	masraḥī	15
وعبر	wa-ʻibar	15
أساطير	Asāṭīr	15
أساسية	asāsīyah	15
وغيرهم	wa-ghayrihim	15
الصين	al-Ṣīn	15
United	United	15
الفرجاني	al-Firjānī	15
والشاعر	wa-al-shāʻir	15
كونراد	Kūnrād	15
المستشارية	al-Mustashārīyah	15
الأمراض	al-amrāḍ	15
القوافي	al-qawāfī	15
الكشف	al-kashf	15
للعام	lil-ʻām	15
الإستئناف	al-Istiʼnāf	15
المسافر	al-musāfir	15
محام	muḥām	15
البوري	al-Būrī	15
طاحون	Ṭāḥūn	15
المدي	al-Madá	15
الصفاة	al-Ṣafāh	15
الإلتزام	al-iltizām	15
الأقفهسي	al-Aqfahsī	15
المستدرك	al-Mustadrak	15
الفالح	al-Fāliḥ	15
الألف	al-alf	15
الطوبجي	al-Ṭūbjī	15
الغرياني	al-Ghiryānī	15
كاملة	kāmilah	15
الصحاح	al-ṣiḥāḥ	15
والرؤية	wa-al-ruʼyah	15
صبرا	Ṣabrā	15
المأثورة	al-maʼthūrah	15
المليباري	al-Malībārī	15
القبور	al-qubūr	15
طراونة	Ṭarāwinah	15
الأزاريطة	al-Azārīṭah	15
الجمان	al-jumān	15
مشروعية	mashrūʻīyat	15
القانونين	al-qānūnayn	15
البهجة	al-Bahjah	15
عادلي	ʻĀdilī	15
وسياسات	wa-siyāsāt	15
الحائز	al-ḥāʼiz	15
الارواح	al-arwāḥ	15
غزاوي	Ghazzāwī	15
الملل	al-milal	15
الأهداف	al-ahdāf	15
